"GeneID","SRR390728","SRR390729","SRR390730","SRR390731"
"ENSG00000301968.1",0,0,0,0
"ENSG00000049239.14",676,595,47,176
"ENSG00000302217.1",3,2,0,1
"ENSG00000171621.15",0,2,24,0
"ENSG00000294252.1",0,0,0,0
"ENSG00000296073.1",0,0,0,0
"ENSG00000296056.1",0,0,0,0
"ENSG00000307568.1",0,0,0,0
"ENSG00000284652.1",0,0,2,0
"ENSG00000284693.3",4,3,0,1
"ENSG00000252956.1",0,0,0,0
"ENSG00000301013.1",0,0,0,0
"ENSG00000301030.1",0,0,0,0
"ENSG00000306844.1",0,0,0,0
"ENSG00000296249.1",0,0,0,0
"ENSG00000235263.2",0,0,0,0
"ENSG00000171612.8",89,289,78,41
"ENSG00000231181.1",18,18,5,2
"ENSG00000188807.14",231,410,307,280
"ENSG00000307011.1",0,0,1,0
"ENSG00000171608.19",652,584,1135,629
"ENSG00000179840.5",29,35,11,15
"ENSG00000233268.3",1,0,3,2
"ENSG00000301080.1",0,0,0,0
"ENSG00000231789.5",72,58,2,34
"ENSG00000171603.19",1787,1782,1089,2612
"ENSG00000271264.1",5,1,0,0
"ENSG00000280113.2",0,0,0,0
"ENSG00000178585.16",102,18,28,56
"ENSG00000223989.1",0,0,0,0
"ENSG00000285701.2",2,1,1,0
"ENSG00000228150.2",5,0,0,6
"ENSG00000162441.13",315,266,123,209
"ENSG00000173614.15",79,54,34,53
"ENSG00000202415.1",0,0,0,0
"ENSG00000283611.2",1,1,0,0
"ENSG00000265521.1",0,0,0,0
"ENSG00000241326.1",0,0,0,0
"ENSG00000162444.13",0,0,0,0
"ENSG00000130939.21",1296,612,484,474
"ENSG00000224340.1",1,2,0,1
"ENSG00000233623.2",1,0,0,2
"ENSG00000201746.1",1,1,0,3
"ENSG00000054523.21",147,74,243,100
"ENSG00000264881.1",0,0,0,0
"ENSG00000199562.1",0,0,0,0
"ENSG00000264501.2",0,0,0,0
"ENSG00000284735.1",0,3,0,4
"ENSG00000284642.1",2,1,4,3
"ENSG00000142657.22",1244,1409,911,1086
"ENSG00000271989.1",0,0,0,1
"ENSG00000251503.8",3,3,1,3
"ENSG00000175279.22",8,18,0,7
"ENSG00000241563.4",2,10,5,3
"ENSG00000160049.13",876,1033,428,818
"ENSG00000203469.2",0,0,0,0
"ENSG00000142655.14",142,153,82,113
"ENSG00000307253.1",0,0,0,0
"ENSG00000287727.1",18,13,6,6
"ENSG00000243267.3",5,2,1,1
"ENSG00000130940.15",16,6,14,9
"ENSG00000272078.1",0,0,2,0
"ENSG00000298629.1",0,0,0,0
"ENSG00000308013.1",0,0,0,0
"ENSG00000307983.1",0,0,0,0
"ENSG00000307999.1",0,0,0,0
"ENSG00000225158.2",0,0,0,0
"ENSG00000308257.1",0,0,0,0
"ENSG00000175262.15",0,0,0,0
"ENSG00000215785.2",2,0,0,1
"ENSG00000120948.20",945,1478,632,1147
"ENSG00000009724.19",48,15,9,48
"ENSG00000116649.11",566,1176,631,715
"ENSG00000230337.5",34,23,9,22
"ENSG00000171824.15",654,952,389,631
"ENSG00000198793.15",714,1417,668,795
"ENSG00000225602.5",1,2,0,0
"ENSG00000253086.1",0,0,0,0
"ENSG00000171819.5",2,3,3,0
"ENSG00000207451.1",0,1,0,1
"ENSG00000238173.1",1,0,0,0
"ENSG00000309051.1",0,0,0,0
"ENSG00000120942.14",290,204,184,198
"ENSG00000238199.1",2,2,1,4
"ENSG00000284646.2",0,0,0,0
"ENSG00000302153.1",0,0,0,0
"ENSG00000302176.1",0,0,0,0
"ENSG00000224338.2",0,0,0,0
"ENSG00000299102.1",0,0,0,0
"ENSG00000204624.9",79,4,0,0
"ENSG00000285833.1",0,0,0,0
"ENSG00000303300.1",0,0,0,0
"ENSG00000235643.2",1,2,0,1
"ENSG00000284708.1",0,1,0,1
"ENSG00000116661.12",13,0,0,0
"ENSG00000132879.15",198,2,21,6
"ENSG00000116670.18",185,325,282,169
"ENSG00000116663.12",12,3,33,3
"ENSG00000162490.8",2,0,4,0
"ENSG00000301523.1",0,0,0,0
"ENSG00000305789.1",0,0,1,0
"ENSG00000177674.17",90,20,18,21
"ENSG00000215910.8",0,2,0,0
"ENSG00000177553.6",0,0,0,0
"ENSG00000177000.14",529,294,413,443
"ENSG00000011021.24",792,517,571,675
"ENSG00000276470.1",0,0,0,0
"ENSG00000278852.1",0,0,0,0
"ENSG00000175206.12",7,4,18,11
"ENSG00000275915.1",0,0,0,0
"ENSG00000120937.10",1,0,0,0
"ENSG00000224904.1",14,0,3,5
"ENSG00000285646.3",11,9,0,5
"ENSG00000199347.2",0,0,0,0
"ENSG00000201801.1",1,0,0,2
"ENSG00000116685.18",286,439,350,409
"ENSG00000083444.18",909,521,690,367
"ENSG00000287384.1",2,0,0,0
"ENSG00000116688.19",688,953,647,659
"ENSG00000270914.1",0,0,0,0
"ENSG00000116691.12",162,139,112,143
"ENSG00000202461.1",0,2,1,0
"ENSG00000276869.1",0,0,0,0
"ENSG00000243539.3",0,0,0,1
"ENSG00000120949.15",0,0,95,0
"ENSG00000201135.1",0,0,0,0
"ENSG00000227875.2",5,0,6,2
"ENSG00000285604.1",0,0,2,0
"ENSG00000294285.1",0,0,0,0
"ENSG00000301863.1",0,0,0,0
"ENSG00000283789.1",0,0,0,0
"ENSG00000028137.20",0,0,587,0
"ENSG00000296888.1",0,0,1,0
"ENSG00000263676.1",0,0,0,0
"ENSG00000297053.1",0,0,0,0
"ENSG00000225196.2",0,0,0,1
"ENSG00000252969.1",0,0,0,0
"ENSG00000048707.15",722,619,341,316
"ENSG00000295309.1",2,1,0,1
"ENSG00000239149.1",0,1,0,1
"ENSG00000229484.4",0,0,1,2
"ENSG00000309694.1",0,0,0,0
"ENSG00000162496.11",0,0,11,1
"ENSG00000221340.1",0,0,0,0
"ENSG00000276830.1",0,0,0,0
"ENSG00000305650.1",0,0,0,0
"ENSG00000288927.3",0,0,0,0
"ENSG00000204518.3",0,0,0,0
"ENSG00000226166.2",0,0,0,0
"ENSG00000188984.12",0,0,0,0
"ENSG00000157330.10",0,0,0,0
"ENSG00000116726.5",0,0,0,0
"ENSG00000116721.9",0,0,0,0
"ENSG00000228338.2",0,0,0,0
"ENSG00000239810.3",0,0,0,0
"ENSG00000231103.2",0,0,0,0
"ENSG00000179172.10",0,1,2,0
"ENSG00000120952.4",0,0,0,0
"ENSG00000243073.4",0,0,0,0
"ENSG00000296105.1",0,0,0,0
"ENSG00000187545.6",0,1,1,0
"ENSG00000204510.6",0,0,0,0
"ENSG00000207434.1",0,0,0,0
"ENSG00000234064.1",0,0,0,0
"ENSG00000232423.6",0,0,0,0
"ENSG00000274178.2",0,0,0,0
"ENSG00000274764.6",0,0,0,0
"ENSG00000277058.3",0,0,1,1
"ENSG00000229571.7",0,0,0,0
"ENSG00000277862.1",0,0,0,0
"ENSG00000236179.1",0,0,0,0
"ENSG00000275774.3",1,0,0,0
"ENSG00000290772.2",0,0,0,0
"ENSG00000229978.2",0,0,0,0
"ENSG00000297821.1",0,0,0,0
"ENSG00000233336.1",0,0,0,0
"ENSG00000280267.7",0,0,0,0
"ENSG00000179412.11",1,0,0,0
"ENSG00000204505.5",0,0,0,0
"ENSG00000279169.3",0,0,0,0
"ENSG00000279804.3",0,0,0,0
"ENSG00000295394.1",0,0,0,0
"ENSG00000250894.1",0,0,0,0
"ENSG00000270601.5",0,0,0,0
"ENSG00000231219.1",0,0,0,0
"ENSG00000207511.1",0,0,0,0
"ENSG00000182330.11",0,0,0,0
"ENSG00000237700.2",0,0,0,0
"ENSG00000204501.7",0,0,0,0
"ENSG00000228229.2",0,0,0,0
"ENSG00000204481.8",0,0,0,0
"ENSG00000204480.9",0,0,0,0
"ENSG00000204479.4",0,0,1,0
"ENSG00000204478.11",0,0,0,0
"ENSG00000307992.1",0,0,0,0
"ENSG00000295011.1",0,0,0,0
"ENSG00000162494.6",0,0,0,0
"ENSG00000301663.1",0,0,0,0
"ENSG00000259961.2",0,0,0,0
"ENSG00000215909.3",0,0,0,0
"ENSG00000162493.18",0,0,0,0
"ENSG00000222952.1",0,0,0,0
"ENSG00000237445.2",0,0,0,0
"ENSG00000295237.1",1,0,0,0
"ENSG00000253085.1",0,0,0,0
"ENSG00000116731.23",3275,802,428,1230
"ENSG00000289380.1",9,0,0,3
"ENSG00000304226.1",0,1,0,2
"ENSG00000189337.17",6,0,0,0
"ENSG00000252151.1",0,0,0,0
"ENSG00000231606.2",3,0,0,0
"ENSG00000234593.4",1,0,0,0
"ENSG00000302124.1",0,0,0,0
"ENSG00000235829.1",13,0,0,0
"ENSG00000287756.1",0,0,0,0
"ENSG00000294214.1",0,0,0,0
"ENSG00000294586.1",0,0,0,0
"ENSG00000293964.1",0,0,0,0
"ENSG00000175147.13",0,0,0,0
"ENSG00000310342.1",0,0,0,0
"ENSG00000171729.15",0,0,0,0
"ENSG00000204464.8",0,0,0,0
"ENSG00000215720.4",0,0,0,0
"ENSG00000278480.1",0,0,0,0
"ENSG00000142621.22",1,0,0,0
"ENSG00000228140.3",6,4,0,0
"ENSG00000233485.2",0,0,0,0
"ENSG00000236045.1",0,0,0,0
"ENSG00000142634.14",562,645,544,444
"ENSG00000162438.12",0,0,0,0
"ENSG00000142615.9",0,1,0,0
"ENSG00000215704.10",1,2,0,0
"ENSG00000132906.19",174,174,50,91
"ENSG00000116138.14",348,354,206,155
"ENSG00000251866.1",0,0,0,0
"ENSG00000272510.1",0,0,0,1
"ENSG00000116771.7",75,46,63,28
"ENSG00000237301.2",18,16,6,6
"ENSG00000235084.3",1,0,1,3
"ENSG00000252417.1",0,0,0,0
"ENSG00000294489.1",0,0,0,0
"ENSG00000236500.1",0,0,0,0
"ENSG00000197312.13",606,768,495,467
"ENSG00000215695.2",6,3,0,0
"ENSG00000116786.16",634,656,387,489
"ENSG00000271742.1",0,0,0,2
"ENSG00000237938.5",19,18,7,16
"ENSG00000162461.9",7,24,4,8
"ENSG00000224459.3",0,0,0,0
"ENSG00000162460.8",0,0,0,0
"ENSG00000297277.1",1,0,0,0
"ENSG00000162458.14",0,0,1,0
"ENSG00000179743.5",39,26,12,43
"ENSG00000224321.1",0,0,0,0
"ENSG00000233954.7",25,23,265,111
"ENSG00000178715.8",1,2,5,2
"ENSG00000065526.13",1731,1450,1629,2353
"ENSG00000270620.1",0,0,1,0
"ENSG00000116809.13",232,154,139,249
"ENSG00000234607.2",0,0,0,3
"ENSG00000231353.1",0,0,0,0
"ENSG00000275503.1",0,0,0,0
"ENSG00000224966.4",0,0,0,0
"ENSG00000183888.4",0,0,0,0
"ENSG00000233078.1",0,0,0,0
"ENSG00000173641.19",0,0,1,0
